"category","content","vet_id"
"breed","TECKEL","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hiperecogenicidad, hepatopatía esteroidal, Lipidosis, hepatopatías vacuolares, hepatitis crónica,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hiperecogenicidad, fibrosis, cirrosis, linfoma, tumor de mastocitos.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hipoecogenicidad, congestión pasiva, hepatitis aguda, colangiohepatitis, Linfoma, Leucemia,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Ecogenicidad mixta, presuntivo fibrosis hepática, Carcinoma Hepatocelular, Metástasis, Necrosis, Amiloidosis o  Linfoma por confirmar","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Ecogenicidad mixta, presuntiva hepatopatía esteroidea asociada a hiperplasia, Linfoma, Hepatitis por confirmar","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hepatomegalia difusa, presuntiva hepatopatía esteroidal, Lipidosis, hepatitis, colangiohepatitis,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hepatomegalia difusa, presuntiva Neoplasia de células Redondas, linfoma, histiocitosis, mastocitos,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hepatomegalia difusa, presuntivo Carcinoma Masivo Hepatocelular, Metástasis, Amiloidoisis","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hepatomegalia focal o asimétrica, presuntiva Neoplasia primaria o Metástasis, absceso, quiste, o granuloma,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hepatomegalia focal o asimétrica, trombosis, torsión lobular, hematoma,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hígado pequeño, Shunt porto sistémico, displasia micro vascular o hipoplasia  de vena porta,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hígado pequeño, presuntiva cirrosis, fibrosis, hipovolemia severa,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Lesiones focales Anecoicas compatibles con quistes, tumor quístico, necrosis, absceso y/o hematoma,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Lesiones focales Hipoecoicas compatibles con hiperplasia nodular, metástasis, linfoma, neoplasia hepática,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Lesiones focales hipoecoicas, absceso, necrosis, hematoma, complejo quístico,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Lesiones focales de ecogenicidad mixta, presuntiva hiperplasia nodular, neoplasia primaria, metástasis,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Lesiones focales de ecogenicidad mixta, presuntivos abscesos y/o hematomas","da07b0a1-53a8-42db-9c7a-748415bf9734"
